aid,label,uid,age,gender,marriageStatus,education,consumptionAbility,LBS,interest1,interest2,interest3,interest4,interest5,kw1,kw2,kw3,topic1,topic2,topic3,appIdInstall,appIdAction,ct,os,carrier,house,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
699,0.0,78508957,1,1,10,1,1,576.0,70 100 48 49 23 36 11,,,,,124532 762727 771871 8561 610048,,,4908 9745 7070 4203 3292,,,,,0,0,0,,1082,295940,731679,59,13,0,6
1991,0.0,3637295,3,2,13,7,0,353.0,93 109 75 29 59 49 6 5 73 46 22 36 11 3,,,,100 131 37 8 46,531499 542834 303322 503318 68211,89232 30101 117462 117548 85039,,8445 6762 7608 523 7688,4518 862 3643 702 5247,,,,3,1,1,,702,42104,1441131,53,10,4669,11
1119,0.0,19229018,4,1,13 10,1,0,94.0,93 37 47 75 29 46 17 9 56 36 11,,,,,255920 190937 576486 460368 135689,,,941 4674 9735 8953 5352,,,,,0,0,0,,3993,63752,798752,59,10,19256,11
2013,0.0,79277120,2,1,10,2,1,48.0,49 18,42 9 1 46 70 14 29 10 35,,,92 116 128 42 5 121 64,101914 294138,57664 32928 40670 11395 79112,,4538 6790 8850 3422 1940,2979 1877 358 666 4166,,,,3 1,1,1,1.0,6937,186348,1427984,35,89,3791,9
692,0.0,41528441,1,1,10,7,1,333.0,70 109 12 75 76 106 29 59 49 41 111 85 17 56 112 36 34 11,47 42 73 9 31 46 32 70 21 33 19 60 13 74 16 55 7 37,,,100 72 37 11 4 79 113 6 46 59,155585 562294 112872 273650 371405,67951 40801 56571 119723 16159,,4535 5590 47 5570 2078,856 4587 1877 392 9103,,,,1 3 4,1,1,,6946,296367,455396,59,24,3794,11
1119,0.0,62381478,4,1,10,1,0,668.0,93 46 17 56 36 11,24 4 30 48,,,100 131 37 8 6 46 129,131879 691885 588835 544089 540263,37802 58596 90034 77707 105942,,7163 7604 8778 9411 6293,7807 2445 2093 6411 5441,,,,4 1 3,1,3,,3993,63752,798752,59,10,19256,11
117,0.0,36832847,4,1,11,1,1,333.0,93 118 12 75 4 69 8 29 59 49 27 6 42 92 46 71 35 36 34 11 20,24 52 21 30,,,127 52 100 72 131 37 13 47 4 109 29 8 6 46 74 59 14 10 83,589299 172344 497092 472718 107181,117546 114920 84508 63003 53212,,9826 4848 2987 523 9016,9853 8067 6132 9118 6945,,,,3 1,1,1,,702,18552,619519,53,24,5615,11
389,0.0,22023604,1,1,10,1,1,85.0,75 29 36 11,73,,,72 92 116 13 47 71 109 8 28 6 43 76 20 57 56 38 114 52 107 79 69 121 59 10 110 120 93,671109 271833 338851 428098 706940,4343 25019 41793 44101,,105 8402 5178 3734 602,812 4746 1965 9837 2115,,,,3 1 2,2,2,,9106,662422,1354071,79,21,0,4
432,0.0,39527165,5,1,10,7,2,809.0,93 70 86 76 28 59 49 15 72 95 46 85 36 11,22 73 79 9 1 46 70 6 74 29 35,,,100 72 92 131 37 116 79 71 109 29 8 41 42 76 27 75 46 121 64 21 40 93 15,761845 542962 670609 476729 250048,55816 1628 67579 766 80747,,7989 4486 3343 3752 9418,6755 898 5641 8985 5927,,,,3 1,1,3,,11437,18237,1081485,100,21,0,4
1468,0.0,47080817,4,1,13 9,6,1,791.0,93 70 109 12 98 47 75 45 29 49 6 46 81 56 36 11 76 59 114 91 111 57 17 9,47 9 20 33 45,,,100 131 37 116 101 13 109 8 6 42 9 46 121 57 118 58 129 103,519363 573044 669604 133833 329854,61483 17460 11395 111807 79112,,6710 254 523 1450 8525,9817 3921 425 5944 9932,,,,3 1,1,1,1.0,915,994,1610899,60,51,0,4
1468,0.0,56085174,1,1,13 9,7,1,246.0,70 47 76 9 36 11,,,,52 72 131 116 47 79 71 8 73 6 42 121 59 49 129 103 21,131835 462134 162804 605930 625029,88002 34525 92783 90599 66915,,369 3252 260 5828 1528,7648 7507 8250 9785 9767,,,,1 3,1,3,,915,994,1610899,60,51,0,4
404,0.0,22117015,1,1,10,1,1,585.0,42 35 36 11 96,22 73 9 1 46 70 6 21 33 76 29 10 35,,,127 52 131 116 101 109 34 8 30 50 6 132 42 89 46 59 118 60 58 64 129,264294 346914 171619 152397 588177,113183 43582 8546 36764 93916,,2787 6535 5267 3596 7620,1352 982 2386 6041 8263,,,,1 3,1,1,1.0,821,888,1353465,59,10,439,11
369,0.0,20159477,5,1,10,6,1,514.0,70 12 76 69 59 49 15 18 88 55 54,1 70,,,52 92 131 37 116 13 109 8 32 6 9 46 121 74 59 129 15,745188 220981 643238 405681,116369 9371 100125 34154 8412,,7066 758 9528 1609 1460,1066 5689 3771 5669 1886,,,,1 3,2,1,1.0,66025,170445,1229175,109,94,0,4
411,0.0,49029134,2,2,10,2,1,809.0,109 47 59 49 119 113 9,31 44,,,52 72 131 116 78 71 8 17 113 30 50 28 73 6 132 99 76 121 60 129 93 44,67109 14694 4830 2723 359273,56438 66915 106194 116540 72676,,8901 9758 2277 8013 2654,1024 9204 4239 1632 3786,,,,0,0,3,,9106,163120,220179,79,21,0,4
1940,0.0,31132182,2,2,10,7,0,662.0,70 76 36 11,70 54,,,,8561 731496 605930 591952 566440,81246 66915 45800 65891 40605,,6366 4535 7 5891 3657,8562 1825 1181 9806 7037,,,,0,0,0,,5552,30399,530889,35,27,113,9
846,0.0,4039629,1,1,10,7,2,94.0,86 69 16 59 49 83 6 42 18 114 72 85 35 17 56 116 36 11 20,47 22 70 19 4 56 13 39,,,52 92 131 116 13 8 50 28 6 42 39 55 9 75 121 59 60 122 64 129,750790 315270 369678 499618 241171,81981 49132 5698 51429 81357,,1971 9826 5156 7651 123,8935 792 4480 9668 2801,,,,3 1,1,1,,8864,310473,1073411,22,43,25730,9
543,0.0,20601591,1,1,10,7,1,458.0,109 47 59 49 119 95 17 9 56 36 65 11,,,,72 37 116 13 71 109 8 50 6 42 76 9 46 36 64 103 38 52 131 79 73 132 5 121 59 60 51 54,46340 367967 127250 118425 711071,80263 105115 38442 69077 118492,,2277 8053 9829 9826 881,5257 4019 7724 4107 6783,,,,3,1,0,,1082,295940,1391569,59,22,0,6
1415,0.0,22744430,3,1,11,2,2,458.0,93 70 77 118 37 47 69 8 41 46 9 36 11 44,47 32 70 54 10,,,52 100 72 80 131 37 11 78 79 71 109 8 30 6 42 89 46 74 59 64 91 114 120,250648 13477 183412 490237 497092,105175 78448 15571 94809 45950,,1297 1614 537 506 9158,5584 7035 7552 4578 977,,,,3 4 1 2,1,0,,133292,464828,1334609,22,74,0,4
136,0.0,9828105,4,1,11,6,2,812.0,93 70 12 75 76 4 69 29 49 95 46 36 34 11 38 44,63 24 73 30,,,127 100 131 37 116 4 8 6 76 39 27 46 121 59 129 40 93,338851 113419 497092 410690 210767,73237 95254 81476 120122 35408,,2566 9826 3582 9188 2723,5641 7621 6552 5884 816,,,,3 2 4 1,1,1,,452,50305,1187573,35,10,7992,11
1918,0.0,10336143,4,1,11,5,1,585.0,93 70 37 109 47 4 76 28 49 15 6 119 46 9 116 36 11,,,,52 100 72 37 116 1 4 109 29 8 69 6 46 121 129,318446 237920 384825 481727 376552,31920 56906 52844 21942 45375,,8912 278 506 5568 1095,8577 4014 7610 6547 3390,,,,1 3,2,1,,158679,643438,1690612,60,4,0,4
561,0.0,75233751,4,1,0,0,0,0.0,93 75 69 29 49 27 6 42 73 114 19 46 57 36 11 117 96 44,,,,,315951 10299 458661 130932 106345,,,8005 957 4959 6939 9826,,,,,3,0,0,,44008,100565,808799,79,21,0,4
1468,0.0,72903924,5,1,10,2,0,258.0,70 12 106 88 36 11,,,,72 37 116 113 46 121,518300 100274 405681 31232 405351,55426 57123 92642 87912 82339,,9826 523 4421 4325 7914,2082 3723 1040 85 5242,,,,0,0,1,,915,994,1610899,60,51,0,4
692,0.0,81670516,2,1,0,2,0,364.0,70 76 36 11,,,,72 11,374880 8561 177291 645705 289152,112877 95597 18185 17339 56986,,2935 6956 6661 2011 6254,2685 6559 1285 3313 8116,,,,3,1,1,,6946,296367,455396,59,24,3794,11
1215,0.0,9947318,5,2,10,5,1,348.0,70 86 109 100 47 76 48 106 67 83 6 119 42 57 9 17 56 36 11 96,46 72 29,,,72 92 116 134 1 71 109 128 8 6 76 27 75 58 114 40 52 31 131 11 107 79 121 59 118 25 129 93,652765 487978 279516 315848 562294,36849 8546 119687 53212 111275,,9264 9826 5845 2686 6811,1586 9118 3664 6782 8054,,,,3 1,2,1,1.0,5459,172796,1360276,59,142,0,6
846,0.0,35278604,1,1,12 13,7,1,464.0,70 86 109 76 49 122 6 119 72 17 56 116 36 11,22 73 24 9 1 52 46 70 21 4 80 30 74 39 23 14 29 10 35,,,72 92 37 116 13 79 128 50 73 6 132 19 111 9 75 46 121 94 59 129 35,714504 88709 646536 50273 764860,49404 117548 90248 120295 52864,,7410 6611 9826 4367 3203,6417 2277 8515 4818 5188,,,,3 1 4,1,3,1.0,8864,310473,1073411,22,43,25730,9
174,0.0,64116325,1,1,10,7,1,184.0,93 109 47 6 119 46 9 116 36 11,52 21,,,104 100 72 116 13 47 78 1 71 109 8 30 50 28 6 76 20 46 35 38 114 21 52 131 11 29 16 73 121 59 10 22 93,618131 100680 459055 321918 158229,72528 63243 114920 1225 69067,,8792 9826 523 7684 14,8688 6045 2504 4226 4513,,,,3 1,1,3,,11487,668182,1512679,22,21,0,4
1749,0.0,33838753,5,1,10,7,0,275.0,70 76 28 67 6 116 36 11,28 43,,,,617658 435330 371848 468212 583202,36865 83318 101193 50725 93916,,7113 4224 8901 7445 8732,810 7015 7881 5297 6796,,,,3 1,2,0,,21359,361928,585909,100,21,0,4
1507,0.0,1320930,2,2,10,1,0,94.0,36 11,,,,131 37 71 8 6 42 76 27 46 59 25 64 130 90 44,,117462 55952 60959 88924 76242,,8110 7780 5119 5958 3111,5421 2482 163 8193 6945,,,,0,0,3,,327,358536,745048,35,67,113,9
1254,0.0,28769142,5,2,10,7,1,886.0,109 47 75 29 59 49 6 39 116 36 11 65,22 79 73 70 6,,,72 92 116 53 47 1 71 109 8 30 50 86 6 76 75 58 114 52 31 131 11 79 61 89 121 59 118 60 10 18 129 96,373554 218365 410565 761845,90034 9679 93916 10358 18185,,46 9826 7684 4305 9158,6459 981 6311 5115 105,,,,3 1,1 2,3,,8350,244601,1383456,35,59,0,4
1119,1.0,48708770,4,1,0,2,0,430.0,93 70 77 109 121 47 75 1 102 29 49 6 42 73 46 56 36 11 96 76 48 59 39 114 60 71 17 9 116 3,24 6 19 13 30,,,100 80 37 116 71 73 6 46 62 59 118 58 129 114 65,338851 463925 691885 80873 350047,74061 67582 44005 14660 104708,,6939 8366 1338 1450 5955,3274 3865 4159 7924 8465,,,,1 3,1,1,,3993,63752,798752,59,10,19256,11
846,0.0,18634306,1,1,0,7,0,988.0,,,,,72 92 116 13 78 71 8 30 50 28 6 42 76 55 27 75 94 58 64 21 40 52 31 131 11 107 69 73 132 89 62 121 60 18 93,,,,,,,,,3 1,1,1,1.0,8864,310473,1073411,22,43,25730,9
1119,0.0,40672131,4,1,13,0,1,687.0,93 46 36 11,,,,,490902 53354 422546 561451 461000,109762 116065 16082 109084,,5768 162 2617 1066 6939,6389 9875 7509 3664 1988,,,,0,0,0,,3993,63752,798752,59,10,19256,11
916,0.0,39650505,3,2,11,1,1,612.0,93 70 86 109 100 76 75 106 29 67 49 6 119 18 73 95 72 46 57 36 11 87,24 46 70 30 14 54 29,,,100 72 37 11 17 50 46,18022 88633 293068 547858 10251,72453 89228 79280 16156 94601,,6661 9934 8992 6374 3036,8291 6024 8609 8712 6662,,,,3 1,2 1,0,,17597,51385,838056,35,25,0,6
1415,0.0,60864809,5,1,11,7,1,27.0,70 86 109 75 29 49 6 2 42 73 35 36 11 76 48 28 106 67 59 122 119 114 39 111 113 23 57 116 87,24 73 30,,,,107700 249603 108440 279516 65237,90656 8546 18185 117548 32219,,9826 8826 7684 8383 9205,3394 2737 598 6459 2943,,,,1 3,1,0,,133292,464828,1334609,22,74,0,4
1335,1.0,44072024,3,1,11,2,0,0.0,93 70 77 76 48 46 36 11,,,,,727009 338851 68812 8561 391535,87384 81211 97866 85039 56336,,7318 257 5828 8048 8402,1052 1825 8112 1188 3755,,,,3,1,0,,9106,645468,1769240,79,21,0,4
1781,0.0,44285573,4,1,11,6,1,209.0,70 86 75 69 48 29 59 67 49 83 41 122 2 113 36 11 38,73 79 31 1 70 6 4 18 41 48 44 27,,,,338851 515009 687036 139628 550675,85580 9088 56438 47308 40921,,8445 2747 3162 7375 644,5115 598 5641 2965 8822,,,,1 3,1,0,,25420,135565,1606251,53,4,0,4
2216,0.0,61237244,4,1,11,6,2,48.0,93 70 77 86 37 109 98 75 69 8 105 29 49 108 42 73 46 35 56 62 36 11 54 96 44 118 100 76 114 39 17 87,24 30,,,100 80 92 37 116 47 71 128 8 115 6 42 75 46 36 56 114 52 131 132 5 89 121 59 129 81,16860 761845 493555 348518 551823,18185 27844 76242 5827 83271,,1644 7684 644 3162 7688,8577 7949 8709 6586 1976,,,,1 3,2,3,,5459,172796,1321733,91,142,0,6
117,0.0,47475273,4,1,0,2,2,222.0,93 70 77 86 37 109 75 4 1 102 33 8 29 27 108 6 42 53 72 46 35 56 36 11 96 30 118 76 39 71 57 17,,,,100 80 37 4 6 46 59 129,654027 532453 761845 691885 189810,34410 109981 11395 79112 28206,36983 30214 8820 56152 20006,6939 8525 9826 523 9324,7593 8830 7465 9482 4192,6048 5826 2334 6969 4345,,,3,1,0,,702,18552,619519,53,24,5615,11
1119,1.0,64954925,4,1,11,7,1,687.0,93 70 86 37 75 4 69 29 83 6 42 104 46 36 11 96 44 100 76 48 106 41 84 71 116,24 30,,,,172567 10251 634625 388504 527776,32481 6918 44999 28033 47192,,2123 5828 4771 3014 4388,6269 3632 1570 3540 7555,,,,3 1,2,0,,3993,63752,798752,59,10,19256,11
436,0.0,68093353,1,1,10,2,0,246.0,77 109 39 46 36 11,,,,,259878 796282 102556 226464 154710,11395 79112 61483 17460 4343,,2353 6966 7805 2459 6282,5566 7947 185 4050 5489,,,,3 1,1,0,,7926,378648,621766,77,8,0,4
411,0.0,5256406,1,1,10,2,2,958.0,70 76,47 22 73 9 1 46 32 70 28 74 43 14 54 10 35,,,52 72 92 131 11 13 8 50 6 19 76 9 75 59 129 96 93,,8646 8546 90748 41548 93916,36983 51317 41633 51818 36499,6572 8984 6143 5703 1124,7205 2690 625 9927 8430,7883 5609 7150 1140 3809,,,3 1,1,1,,9106,163120,220179,79,21,0,4
1379,0.0,69938159,2,1,12 13,7,2,114.0,70 76 75 29 6 116 36 11,46 29,,,72 116 50 41 6 121 59 60 129,602416 162804 47332 784470 425508,65128 974 17355 52864 87160,,7896 1950 3931 1778 6179,5689 3771 5669 5272 5854,,,,3 1 2,2,3,,8864,90700,469197,22,27,113,9
432,0.0,64938005,4,1,11,7,1,296.0,93 70 12 45 106 29 6 73 46 60 17 56 116 112 36 11 87,24 30,,,100 72 80 37 4 113 69 6 46 129,645850 210767 412811 564214 122144,94407 8125 91012 85950 90275,,1584 9335 3052 3179 5473,3368 7962 9360 5772 973,,,,3 1,1,1,,11437,18237,1081485,100,21,0,4
1605,0.0,34025684,2,0,15,2,1,0.0,,,,,,,109288 35373 18185 112877 58678,,,8704 7265 3810 3313 6168,,,,0,0,0,,11195,19215,1755470,53,140,0,4
1566,0.0,54876557,2,1,10,2,0,116.0,49 23,,,,,659383 189237 546308 722409,,,8383 2734 8516 331 5566,,,,,0,0,0,,6946,296367,520004,59,24,3794,11
432,0.0,38454452,4,2,11,1,1,809.0,70 118 76 75 4 8 106 29 67 73 46 36 11 3,,,,52 131 116 4 8 28 6 99 46 121 59 118 58,8561 568780 605930 606954 298533,87384 846 33055 120667 92155,,506 2949 164 8456 1450,9353 7180 364 9784 6378,,,,4 1 3,1,1,,11437,18237,1081485,100,21,0,4
1918,0.0,60491542,5,1,11,7,1,585.0,93 70 86 118 109 76 4 75 28 8 29 108 6 119 46 71 116 36 11,63 24 30,,,100 72 92 37 116 47 78 4 71 8 30 6 42 27 75 46 58 64 21 40 52 131 11 132 89 121 59 118 129 22,291028 606795 572280 707862 531249,106673 105941 60043 2042 28681,,5271 1633 3393 3255 9779,8986 8361 102 8173 7407,,,,3 4 1,1,1,,158679,643438,1690612,60,4,0,4
1415,1.0,51156977,4,1,11,1,1,85.0,70 30 77 75 76 8 29 67 27 42 92 46 35 17 56 36 11 96,47 24 73 32 33 19 13 30 74 45,,,127 52 72 80 31 92 131 37 116 47 12 8 69 28 6 75 20 46 121 59 129 81,688291 67406 122910 75722 18022,51399 104182 64220 45950 49193,,5338 7608 5935 7604 7456,7366 1094 2902 5188 1892,,,,1 4 3,1,1,,133292,464828,1334609,22,74,0,4
